,Company Name,Country,Launcher,Shuttle,Rocket,Status Rocket,Year,Month,Status Mission
0,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L9 & BlackSky,50.0,StatusActive,2020,8,Success
1,CASC,China,Long March 2D, Gaofen-9 04 & Q-SAT,29.75,StatusActive,2020,8,Success
2,SpaceX,USA,Starship Prototype, 150 Meter Hop,,StatusActive,2020,8,Success
3,Roscosmos,Kazakhstan,Proton-M/Briz-M, Ekspress-80 & Ekspress-103,65.0,StatusActive,2020,7,Success
4,ULA,USA,Atlas V 541, Perseverance,145.0,StatusActive,2020,7,Success
5,CASC,China,Long March 4B," Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",64.68,StatusActive,2020,7,Success
6,Roscosmos,Kazakhstan,Soyuz 2.1a, Progress MS-15,48.5,StatusActive,2020,7,Success
7,CASC,China,Long March 5, Tianwen-1,,StatusActive,2020,7,Success
8,SpaceX,USA,Falcon 9 Block 5, ANASIS-II,50.0,StatusActive,2020,7,Success
9,JAXA,Japan,H-IIA 202, Hope Mars Mission,90.0,StatusActive,2020,7,Success
10,Northrop,USA,Minotaur IV, NROL-129,46.0,StatusActive,2020,7,Success
11,ExPace,China,Kuaizhou 11," Jilin-1 02E, CentiSpace-1 S2",28.3,StatusActive,2020,7,Failure
12,CASC,China,Long March 3B/E, Apstar-6D,29.15,StatusActive,2020,7,Success
13,IAI,Israel,Shavit-2, Ofek-16,,StatusActive,2020,7,Success
14,CASC,China,Long March 2D, Shiyan-6 02,29.75,StatusActive,2020,7,Success
15,Rocket Lab,New Zealand,Electron/Curie, Pics Or It Didn??¦t Happen,7.5,StatusActive,2020,7,Failure
16,CASC,China,Long March 4B, Gaofen Duomo & BY-02,64.68,StatusActive,2020,7,Success
17,SpaceX,USA,Falcon 9 Block 5, GPS III SV03,50.0,StatusActive,2020,6,Success
18,CASC,China,Long March 3B/E, Beidou-3 G3,29.15,StatusActive,2020,6,Success
19,CASC,China,Long March 2D," Gaofen-9 03, Pixing III A & HEAD-5",29.75,StatusActive,2020,6,Success
20,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L8 & SkySat 16 to 18,50.0,StatusActive,2020,6,Success
21,Rocket Lab,New Zealand,Electron/Curie, Don't stop me now!,7.5,StatusActive,2020,6,Success
22,CASC,China,Long March 2C, Haiyang-1D,30.8,StatusActive,2020,6,Success
23,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L7,50.0,StatusActive,2020,6,Success
24,CASC,China,Long March 2D, Gaofen-9-02 & HEAD-4,29.75,StatusActive,2020,5,Success
25,SpaceX,USA,Falcon 9 Block 5, SpaceX Demo-2,50.0,StatusActive,2020,5,Success
26,CASC,China,Long March 11, XJS-G and XJS-H,5.3,StatusActive,2020,5,Success
27,Virgin Orbit,USA,LauncherOne, Demo Flight,12.0,StatusActive,2020,5,Failure
28,VKS RF,Russian Federation,Soyuz 2.1b/Fregat-M, Cosmos 2546,,StatusActive,2020,5,Success
29,MHI,Japan,H-IIB, HTV-9,112.5,StatusRetired,2020,5,Success
30,ULA,USA,Atlas V 501, OTV-6 (USSF-7),120.0,StatusActive,2020,5,Success
31,ExPace,China,Kuaizhou 1A, Xingyun-2 01 (Wuhan) & 02,,StatusActive,2020,5,Success
32,CASC,China,Long March 5B, Test Flight (New Crew Capsule),,StatusActive,2020,5,Success
33,Roscosmos,Kazakhstan,Soyuz 2.1a, Progress MS-14,48.5,StatusActive,2020,4,Success
34,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L6,50.0,StatusActive,2020,4,Success
35,IRGC,Iran,Qased, Noor 1,,StatusActive,2020,4,Success
36,CASC,China,Long March 3B/E, Nusantara Dua,29.15,StatusActive,2020,4,Failure
37,Roscosmos,Kazakhstan,Soyuz 2.1a, Soyuz MS-16,48.5,StatusActive,2020,4,Success
38,ULA,USA,Atlas V 551, AEHF 6,153.0,StatusActive,2020,3,Success
39,CASC,China,Long March 2C, Yaogan-30-06,30.8,StatusActive,2020,3,Success
40,Arianespace,Kazakhstan,Soyuz 2.1b/Fregat, OneWeb #3,48.5,StatusActive,2020,3,Success
41,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L5,50.0,StatusActive,2020,3,Success
42,VKS RF,Russian Federation,Soyuz 2.1b/Fregat-M, Cosmos 2545,,StatusActive,2020,3,Success
43,CASC,China,Long March 7A, XJY-6,,StatusActive,2020,3,Failure
44,CASC,China,Long March 3B/E, Beidou-3 G2,29.15,StatusActive,2020,3,Success
45,SpaceX,USA,Falcon 9 Block 5, CRS-20,50.0,StatusActive,2020,3,Success
46,VKS RF,Russian Federation,Soyuz 2.1a/Fregat-M, Meridian-M n†­19L,48.5,StatusActive,2020,2,Success
47,CASC,China,Long March 2D, XJS-C to F,29.75,StatusActive,2020,2,Success
48,Arianespace,France,Ariane 5 ECA, JCSAT-17 & GEO-KOMPSAT 2B,200.0,StatusActive,2020,2,Success
49,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L4,50.0,StatusActive,2020,2,Success
50,Northrop,USA,Antares 230+, CRS NG-13,85.0,StatusActive,2020,2,Success
51,ULA,USA,Atlas V 411, Solar Orbiter,115.0,StatusActive,2020,2,Success
52,ISA,Iran,Simorgh, Zafar 1,,StatusActive,2020,2,Failure
53,MHI,Japan,H-IIA 202, IGS-Optical 7,90.0,StatusActive,2020,2,Success
54,Arianespace,Kazakhstan,Soyuz 2.1b/Fregat, OneWeb #2,48.5,StatusActive,2020,2,Success
55,Rocket Lab,New Zealand,Electron/Curie, Birds of a Feather / NROL-151,7.5,StatusActive,2020,1,Success
56,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L3,50.0,StatusActive,2020,1,Success
57,SpaceX,USA,Falcon 9 Block 5, Crew Dragon Inflight Abort Test,50.0,StatusActive,2020,1,Success
58,Arianespace,France,Ariane 5 ECA, Eutelsat Konnect BB4A & GSAT-30,200.0,StatusActive,2020,1,Success
59,ExPace,China,Kuaizhou 1A, Yinhe-1,,StatusActive,2020,1,Success
60,CASC,China,Long March 2D, Jilin-1 Wideband 01 & ??uSat-7/8,29.75,StatusActive,2020,1,Success
61,CASC,China,Long March 3B/E, TJSW-5,29.15,StatusActive,2020,1,Success
62,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L2,50.0,StatusActive,2020,1,Success
63,CASC,China,Long March 5, Shijian-20,,StatusActive,2019,12,Success
64,VKS RF,Russian Federation,Rokot/Briz KM," Gonets-M ???24, 25, 26 [block-15] & Blits-M1",41.8,StatusRetired,2019,12,Success
65,Roscosmos,Kazakhstan,Proton-M/DM-3, Elektro-L n†­3,65.0,StatusActive,2019,12,Success
66,ULA,USA,Atlas V N22, Starliner OFT,,StatusActive,2019,12,Success
67,CASC,China,Long March 4B," CBERS-4A, ETRSS-1 & Others",64.68,StatusActive,2019,12,Success
68,Arianespace,France,Soyuz ST-A/Fregat-M," CSG-1, CHEOPS & Others",,StatusActive,2019,12,Success
69,SpaceX,USA,Falcon 9 Block 5, JCSAT-18 / Kacific-1,50.0,StatusActive,2019,12,Success
70,CASC,China,Long March 3B/YZ-1, BeiDou-3 M19 & M20,,StatusActive,2019,12,Success
71,Blue Origin,USA,New Shepard, NS-12,,StatusActive,2019,12,Success
72,ISRO,India,PSLV-QL, RISAT 2BR1,21.0,StatusActive,2019,12,Success
73,VKS RF,Russian Federation,Soyuz 2.1b/Fregat, Cosmos 2544,48.5,StatusActive,2019,12,Success
74,ExPace,China,Kuaizhou 1A, HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,,StatusActive,2019,12,Success
75,ExPace,China,Kuaizhou 1A, Jilin-1 Gaofen-02B,,StatusActive,2019,12,Success
76,Roscosmos,Kazakhstan,Soyuz 2.1a, Progress MS-13 (74P),48.5,StatusActive,2019,12,Success
77,Rocket Lab,New Zealand,Electron/Curie, Running Out Of Fingers,7.5,StatusActive,2019,12,Success
78,SpaceX,USA,Falcon 9 Block 5, CRS-19,50.0,StatusActive,2019,12,Success
79,CASC,China,Long March 4C, Gaofen-12,64.68,StatusActive,2019,11,Success
80,ISRO,India,PSLV-XL, Cartosat-3 & Rideshares,31.0,StatusActive,2019,11,Success
81,Arianespace,France,Ariane 5 ECA, Inmarsat 5 F5 & TIBA-1,200.0,StatusActive,2019,11,Success
82,VKS RF,Russian Federation,Soyuz 2.1v/Volga, Cosmos 2542 & 2543,,StatusActive,2019,11,Success
83,CASC,China,Long March 3B/YZ-1, BeiDou-3 M21 & M22,,StatusActive,2019,11,Success
84,ExPace,China,Kuaizhou 1A," KL-Alpha A, KL-Alpha B",,StatusActive,2019,11,Success
85,CASC,China,Long March 6, Ningxia-1 (x5),,StatusActive,2019,11,Success
86,ExPace,China,Kuaizhou 1A, Jilin 1-02A,,StatusActive,2019,11,Success
87,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L1,50.0,StatusActive,2019,11,Success
88,CASC,China,Long March 3B/E, Beidou-3 IGSO-3,29.15,StatusActive,2019,11,Success
89,CASC,China,Long March 4B, Gaofen-7,64.68,StatusActive,2019,11,Success
90,Northrop,USA,Antares 230+, CRS NG-12,85.0,StatusActive,2019,11,Success
91,Exos,USA,SARGE, Launch 4,,StatusActive,2019,10,Failure
92,CASC,China,Long March 3B/E, TJSW-4,29.15,StatusActive,2019,10,Success
93,Rocket Lab,New Zealand,Electron/Curie, As The Crow Flies,7.5,StatusActive,2019,10,Success
94,Northrop,USA,Pegasus XL, ICON,40.0,StatusActive,2019,10,Success
95,ILS,Kazakhstan,Proton-M/Briz-M, Eutelsat 5 West B & MEV-1,65.0,StatusActive,2019,10,Success
96,CASC,China,Long March 4C, Gaofen 10 (Replacement),64.68,StatusActive,2019,10,Success
97,VKS RF,Russian Federation,Soyuz 2.1b/Fregat, Cosmos 2541,48.5,StatusActive,2019,9,Success
98,Roscosmos,Kazakhstan,Soyuz FG, Soyuz MS-15 (61S),,StatusRetired,2019,9,Success
99,CASC,China,Long March 2D, Yunhai-1-02,29.75,StatusActive,2019,9,Success
100,MHI,Japan,H-IIB, HTV-8,112.5,StatusRetired,2019,9,Success
101,CASC,China,Long March 3B/YZ-1, BeiDou-3 M23 & M24,,StatusActive,2019,9,Success
102,CASC,China,Long March 11, Zhuhai-1 Group 03,5.3,StatusActive,2019,9,Success
103,CASC,China,Long March 4B," Ziyuan-2D, BNU-1 & Taurus-1",64.68,StatusActive,2019,9,Success
104,ExPace,China,Kuaizhou 1A, KX-09 & Others,,StatusActive,2019,8,Success
105,VKS RF,Russian Federation,Rokot/Briz KM, Cosmos 2540,41.8,StatusRetired,2019,8,Success
106,ISA,Iran,Safir-1B+, Nahid-1,,StatusActive,2019,8,Prelaunch Failure
107,ULA,USA,"Delta IV Medium+ (4,2)", GPS III SV02,164.0,StatusRetired,2019,8,Success
108,Roscosmos,Kazakhstan,Soyuz 2.1a, Soyuz MS-14 (60S),48.5,StatusActive,2019,8,Success
109,Rocket Lab,New Zealand,Electron/Curie," Look Ma, No Hands!",7.5,StatusActive,2019,8,Success
110,CASC,China,Long March 3B/E, ChinaSat 18,29.15,StatusActive,2019,8,Success
111,CASC,China,Jielong-1, Tianqi-4 & Others,7.5,StatusActive,2019,8,Success
112,ULA,USA,Atlas V 551, AEHF 5,153.0,StatusActive,2019,8,Success
113,SpaceX,USA,Falcon 9 Block 5, AMOS-17,50.0,StatusActive,2019,8,Success
114,Arianespace,France,Ariane 5 ECA, EDRS-C/HYLAS 3 & Intelsat 39,200.0,StatusActive,2019,8,Success
115,Roscosmos,Kazakhstan,Proton-M/Briz-M, Cosmos 2539,65.0,StatusActive,2019,8,Success
116,Roscosmos,Kazakhstan,Soyuz 2.1a, Progress MS-12,48.5,StatusActive,2019,7,Success
117,VKS RF,Russian Federation,Soyuz 2.1a/Fregat-M, Meridian-M n†­18L,48.5,StatusActive,2019,7,Success
118,CASC,China,Long March 2C, Yaogan-30-05,30.8,StatusActive,2019,7,Success
119,SpaceX,USA,Falcon 9 Block 5, CRS-18,50.0,StatusActive,2019,7,Success
120,i-Space,China,Hyperbola-1, CAS-7B & Others,,StatusActive,2019,7,Success
121,ISRO,India,GSLV Mk III, Chandrayaan-2 lunar mission,62.0,StatusActive,2019,7,Success
122,Roscosmos,Kazakhstan,Soyuz FG, Soyuz MS-13 (59S),,StatusRetired,2019,7,Success
123,Roscosmos,Kazakhstan,Proton-M/DM-3, Spektr-RG,65.0,StatusActive,2019,7,Success
124,Arianespace,France,Vega, Falcon Eye 1,37.0,StatusActive,2019,7,Failure
125,VKS RF,Russian Federation,Soyuz 2.1v/Volga, Cosmos 2535 to 2538,,StatusActive,2019,7,Success
126,Roscosmos,Russian Federation,Soyuz 2.1b/Fregat-M," Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",,StatusActive,2019,7,Success
127,Exos,USA,SARGE, Launch 3,,StatusActive,2019,6,Partial Failure
128,Rocket Lab,New Zealand,Electron/Curie, Make it Rain,7.5,StatusActive,2019,6,Success
129,SpaceX,USA,Falcon Heavy, STP-2,90.0,StatusActive,2019,6,Success
130,CASC,China,Long March 3B/E, Beidou-3 IGSO-2,29.15,StatusActive,2019,6,Success
131,Arianespace,France,Ariane 5 ECA, Eutelsat 7C &  AT&T T-16,200.0,StatusActive,2019,6,Success
132,SpaceX,USA,Falcon 9 Block 5, RADARSAT Constellation,50.0,StatusActive,2019,6,Success
133,CASC,China,Long March 11H, Jilin-1 & Others,5.3,StatusActive,2019,6,Success
134,Roscosmos,Kazakhstan,Proton-M/Briz-M, Yamal-601,65.0,StatusActive,2019,5,Success
135,Roscosmos,Russian Federation,Soyuz 2.1b/Fregat-M, Cosmos 2534,,StatusActive,2019,5,Success
136,SpaceX,USA,Falcon 9 Block 5, Starlink V0.9,50.0,StatusActive,2019,5,Success
137,CASC,China,Long March 4C, Yaogan Weixing-33,64.68,StatusActive,2019,5,Failure
138,ISRO,India,PSLV-CA, RISAT-2B,21.0,StatusActive,2019,5,Success
139,CASC,China,Long March 3C/E, Beidou-2 G8,,StatusActive,2019,5,Success
140,Rocket Lab,New Zealand,Electron/Curie, That's a Funny Looking Cactus,7.5,StatusActive,2019,5,Success
141,SpaceX,USA,Falcon 9 Block 5, CRS-17,50.0,StatusActive,2019,5,Success
142,Blue Origin,USA,New Shepard, NS-11,,StatusActive,2019,5,Success
143,CASC,China,Long March 4B, Tianhui-2 Group 01,64.68,StatusActive,2019,4,Success
144,CASC,China,Long March 3B/E, Beidou-3 IGSO-1,29.15,StatusActive,2019,4,Success
145,Northrop,USA,Antares 230, CRS NG-11,85.0,StatusRetired,2019,4,Success
146,SpaceX,USA,Falcon Heavy, ArabSat 6A,90.0,StatusActive,2019,4,Success
147,Arianespace,France,Soyuz ST-B/Fregat-MT, O3b FM17-FM20,,StatusActive,2019,4,Success
148,Roscosmos,Kazakhstan,Soyuz 2.1a, Progress MS-11 (72P),48.5,StatusActive,2019,4,Success
149,ISRO,India,PSLV-QL, EMISAT & Rideshares,21.0,StatusActive,2019,4,Success
150,CASC,China,Long March 3B/E, Tianlian-2,29.15,StatusActive,2019,3,Success
151,Rocket Lab,New Zealand,Electron/Curie, Two Thumbs Up,7.5,StatusActive,2019,3,Success
152,OneSpace,China,OS-M1, Lingque-1B,,StatusActive,2019,3,Failure
153,Arianespace,France,Vega, PRISMA,37.0,StatusActive,2019,3,Success
154,ULA,USA,"Delta IV Medium+ (5,4)", WGS-10,,StatusRetired,2019,3,Success
155,Roscosmos,Kazakhstan,Soyuz FG, Soyuz MS-12 (58S),,StatusRetired,2019,3,Success
156,CASC,China,Long March 3B/E, Zhongxing-6C,29.15,StatusActive,2019,3,Success
157,Exos,USA,SARGE, Launch 2,,StatusActive,2019,3,Partial Failure
158,SpaceX,USA,Falcon 9 Block 5, SpaceX Demo-1,50.0,StatusActive,2019,3,Success
159,Arianespace,France,Soyuz ST-B/Fregat-M, OneWeb #1,,StatusActive,2019,2,Success
160,SpaceX,USA,Falcon 9 Block 5, Nusantara Satu & Beresheet,50.0,StatusActive,2019,2,Success
161,VKS RF,Kazakhstan,Soyuz 2.1b/Fregat-M, EgyptSat-A,,StatusActive,2019,2,Success
162,Arianespace,France,Ariane 5 ECA, GSAT-31 & Hellas-Sat-4,200.0,StatusActive,2019,2,Success
163,ISA,Iran,Safir-1B+, Dousti,,StatusActive,2019,2,Failure
164,ISRO,India,PSLV-DL, Microsat-R,,StatusActive,2019,1,Success
165,Blue Origin,USA,New Shepard, NS-10,,StatusActive,2019,1,Success
166,CASC,China,Long March 11, Jilin-1 Hyperspectral & Others,5.3,StatusActive,2019,1,Success
167,ULA,USA,Delta IV Heavy, NROL-71,350.0,StatusActive,2019,1,Success
168,JAXA,Japan,Epsilon PBS, Innovative Satellite Technology Demonstration-1,39.0,StatusActive,2019,1,Success
169,ISA,Iran,Simorgh, Payam-e Amirkabir,,StatusActive,2019,1,Failure
170,SpaceX,USA,Falcon 9 Block 5, Iridium-8,50.0,StatusActive,2019,1,Success
171,CASC,China,Long March 3B/E, Zhongxing-2D (Chinasat-2D),29.15,StatusActive,2019,1,Success
172,CASC,China,Long March 2D/YZ-3, Hongyan-1,,StatusActive,2018,12,Success
173,Roscosmos,Russian Federation,Soyuz 2.1a/Fregat, Kanopus-V No. 5-6 & Rideshares,48.5,StatusActive,2018,12,Success
174,CASC,China,Long March 3C/E, TJS-3,,StatusActive,2018,12,Success
175,SpaceX,USA,Falcon 9 Block 5, GPS III SV01,50.0,StatusActive,2018,12,Success
176,CASC,China,Long March 11, Hongyun-1,5.3,StatusActive,2018,12,Success
177,VKS RF,Kazakhstan,Proton-M/Briz-M, Blagovest No.13L,65.0,StatusActive,2018,12,Success
178,Arianespace,France,Soyuz ST-A/Fregat-M, CSO 1,,StatusActive,2018,12,Success
179,ISRO,India,GSLV Mk II, GSAT-7A,47.0,StatusActive,2018,12,Success
180,Rocket Lab,New Zealand,Electron/Curie, This one's for Pickering,7.5,StatusActive,2018,12,Success
181,CASC,China,Long March 3B/E, Chang'e-4,29.15,StatusActive,2018,12,Success
182,CASC,China,Long March 2D," SaudiSAT 5A, & 5B and Others",29.75,StatusActive,2018,12,Success
183,SpaceX,USA,Falcon 9 Block 5, CRS-16,50.0,StatusActive,2018,12,Success
184,Arianespace,France,Ariane 5 ECA, GSAT-11 & GEO-KOMPSAT 2A,200.0,StatusActive,2018,12,Success
185,SpaceX,USA,Falcon 9 Block 5, Spaceflight SSO-A,50.0,StatusActive,2018,12,Success
186,Roscosmos,Kazakhstan,Soyuz FG, Soyuz MS-11 (57S),,StatusRetired,2018,12,Success
187,VKS RF,Russian Federation,Rokot/Briz KM, Cosmos 2530 to 2532,41.8,StatusRetired,2018,11,Success
188,ISRO,India,PSLV-CA, HySIS,21.0,StatusActive,2018,11,Success
189,Arianespace,France,Vega, Mohammed VI-B,37.0,StatusActive,2018,11,Success
190,CASC,China,Long March 2D," Shiyan-6, Jiading-1 (OKW-01), & Others",29.75,StatusActive,2018,11,Success
191,CASC,China,Long March 3B/YZ-1, BeiDou-3 M17 & M18,,StatusActive,2018,11,Success
192,Northrop,USA,Antares 230, CRS NG-10,85.0,StatusRetired,2018,11,Success
193,Roscosmos,Kazakhstan,Soyuz FG, Progress MS-10 (71P),,StatusRetired,2018,11,Success
194,SpaceX,USA,Falcon 9 Block 5, Es'hail 2,50.0,StatusActive,2018,11,Success
195,ISRO,India,GSLV Mk III, GSAT 29,62.0,StatusActive,2018,11,Success
196,Rocket Lab,New Zealand,Electron/Curie, It's Business Time,7.5,StatusActive,2018,11,Success
197,Arianespace,France,Soyuz ST-B/Fregat-M, MetOp C,,StatusActive,2018,11,Success
198,VKS RF,Russian Federation,Soyuz 2.1b/Fregat, GLONASS-M No.54S,48.5,StatusActive,2018,11,Success
199,CASC,China,Long March 3B/E, Beidou-3 G1,29.15,StatusActive,2018,11,Success
200,MHI,Japan,H-IIA 202," Ibuki 2, KhalifaSat & Others",90.0,StatusActive,2018,10,Success
201,CASC,China,Long March 2C," CFOSAT, Zhaojin-1, Hongyan-1, & Others",30.8,StatusActive,2018,10,Success
202,Landspace,China,ZhuQue-1, CCTV Future-1,,StatusRetired,2018,10,Failure
203,Roscosmos,Russian Federation,Soyuz 2.1b, Lotus-S No.4,35.0,StatusActive,2018,10,Success
204,CASC,China,Long March 4B, Haiyang-2B,64.68,StatusActive,2018,10,Success
205,Arianespace,France,Ariane 5 ECA, BepiColombo,200.0,StatusActive,2018,10,Success
206,ULA,USA,Atlas V 551, AEHF-4,153.0,StatusActive,2018,10,Success
207,CASC,China,Long March 3B/YZ-1, BeiDou-3 M15 & M16,,StatusActive,2018,10,Success
208,Roscosmos,Kazakhstan,Soyuz FG, Soyuz MS-10 (56S),,StatusRetired,2018,10,Failure
209,CASC,China,Long March 2C, Yaogan-32 Group 01,30.8,StatusActive,2018,10,Success
210,SpaceX,USA,Falcon 9 Block 5, SAOCOM 1A,50.0,StatusActive,2018,10,Success
211,ExPace,China,Kuaizhou 1A, CentiSpace-1 S1,,StatusActive,2018,9,Success
212,Arianespace,France,Ariane 5 ECA, Horizons-3e & Azerspace 2/Intelsat 38,200.0,StatusActive,2018,9,Success
213,MHI,Japan,H-IIB, HTV-7,112.5,StatusRetired,2018,9,Success
214,CASC,China,Long March 3B/YZ-1, BeiDou-3 M13 & M14,,StatusActive,2018,9,Success
215,ISRO,India,PSLV-CA, SSTL-1 & NovaSAR-S,21.0,StatusActive,2018,9,Success
216,ULA,USA,Delta II 7420-10C, ICESat-2,,StatusRetired,2018,9,Success
217,SpaceX,USA,Falcon 9 Block 5, Telstar 18V / APStar 5C,50.0,StatusActive,2018,9,Success
218,CASC,China,Long March 2C, Haiyang 1C (HY-1C),30.8,StatusActive,2018,9,Success
219,Exos,USA,SARGE, Launch 1,,StatusActive,2018,8,Partial Failure
220,CASC,China,Long March 3B/YZ-1, BeiDou-3 M11 & M12,,StatusActive,2018,8,Success
221,Arianespace,France,Vega, ADM-Aeolus,37.0,StatusActive,2018,8,Success
222,ULA,USA,Delta IV Heavy, Parker Solar Probe,350.0,StatusActive,2018,8,Success
223,SpaceX,USA,Falcon 9 Block 5, Merah Putih (Telkom-4),50.0,StatusActive,2018,8,Success
224,CASC,China,Long March 4B, Gaofen 11,64.68,StatusActive,2018,7,Success
225,CASC,China,Long March 3B/YZ-1, BeiDou-3 M5 & M6,,StatusActive,2018,7,Success
226,SpaceX,USA,Falcon 9 Block 5, Iridium-7,50.0,StatusActive,2018,7,Success
227,Arianespace,France,Ariane 5 ES, Galileo FOC FM19-FM22,,StatusRetired,2018,7,Success
228,SpaceX,USA,Falcon 9 Block 5, Telstar 19V,50.0,StatusActive,2018,7,Success
229,Blue Origin,USA,New Shepard, NS-9 (Inflight Escape Test),,StatusActive,2018,7,Success
230,Roscosmos,Kazakhstan,Soyuz 2.1a, Progress MS-09 (70P),48.5,StatusActive,2018,7,Success
231,CASC,China,Long March 3A, BeiDou-2 I7,69.7,StatusActive,2018,7,Success
232,CASC,China,Long March 2C, PRSS-1 & PakTES-1A,30.8,StatusActive,2018,7,Success
233,SpaceX,USA,Falcon 9 Block 4, CRS-15,62.0,StatusRetired,2018,6,Success
234,CASC,China,Long March 2C, XJSS A & B,30.8,StatusActive,2018,6,Success
235,VKS RF,Russian Federation,Soyuz 2.1b/Fregat-M, GLONASS-M No.53S,,StatusActive,2018,6,Success
236,MHI,Japan,H-IIA 202, IGS Radar-6,90.0,StatusActive,2018,6,Success
237,Roscosmos,Kazakhstan,Soyuz FG, Soyuz MS-09 (55S),,StatusRetired,2018,6,Success
238,CASC,China,Long March 3A, Fengyun 2H,69.7,StatusActive,2018,6,Success
239,SpaceX,USA,Falcon 9 Block 4, SES-12,62.0,StatusRetired,2018,6,Success
240,CASC,China,Long March 2D, Gaofen 6 & Luojia 1,29.75,StatusActive,2018,6,Success
241,SpaceX,USA,Falcon 9 Block 4, Iridium-6 & GRACE-FO,62.0,StatusRetired,2018,5,Success
242,Northrop,USA,Antares 230, CRS OA-9E,85.0,StatusRetired,2018,5,Success
243,CASC,China,Long March 4C," Queqiao, Longjiang 1 & 2",64.68,StatusActive,2018,5,Success
244,SpaceX,USA,Falcon 9 Block 5, Bangabandhu-1,50.0,StatusActive,2018,5,Success
245,CASC,China,Long March 4C, Gaofen 5,64.68,StatusActive,2018,5,Success
246,ULA,USA,Atlas V 401, InSight,109.0,StatusActive,2018,5,Success
247,CASC,China,Long March 3B/E, Apstar 6C,29.15,StatusActive,2018,5,Success
248,Blue Origin,USA,New Shepard, NS-8,,StatusActive,2018,4,Success
249,CASC,China,Long March 11, Zhuhai-1 2A to 2D,5.3,StatusActive,2018,4,Success
250,Eurockot,Russian Federation,Rokot/Briz KM, Sentinel-3B,41.8,StatusRetired,2018,4,Success
251,SpaceX,USA,Falcon 9 Block 4, Transiting Exoplanet Survey Satellite (TESS),62.0,StatusRetired,2018,4,Success
252,VKS RF,Kazakhstan,Proton-M/Briz-M, Blagovest-12L,65.0,StatusActive,2018,4,Success
253,ULA,USA,Atlas V 551, AFSPC-11,153.0,StatusActive,2018,4,Success
254,ISRO,India,PSLV-XL, IRNSS-1I,31.0,StatusActive,2018,4,Success
255,CASC,China,Long March 4C," Yaogan 31 A, B, & C",64.68,StatusActive,2018,4,Success
256,Arianespace,France,Ariane 5 ECA, Superbird-B3/DSN-1 & HYLAS-4,200.0,StatusActive,2018,4,Success
257,SpaceX,USA,Falcon 9 Block 4, CRS-14,62.0,StatusRetired,2018,4,Success
258,CASC,China,Long March 4C, Gaofen-1 02-04,64.68,StatusActive,2018,3,Success
259,SpaceX,USA,Falcon 9 Block 4, Iridium-5,62.0,StatusRetired,2018,3,Success
260,CASC,China,Long March 3B/YZ-1, BeiDou-3 M9 & M10,,StatusActive,2018,3,Success
261,Roscosmos,Russian Federation,Soyuz 2.1v, Cosmos 2525,,StatusActive,2018,3,Success
262,ISRO,India,GSLV Mk II, GSAT-6A,47.0,StatusActive,2018,3,Success
263,Roscosmos,Kazakhstan,Soyuz FG, Soyuz MS-08 (54S),,StatusRetired,2018,3,Success
264,CASC,China,Long March 2D, LKW-4,29.75,StatusActive,2018,3,Success
265,Arianespace,France,Soyuz ST-B/Fregat-MT, O3b FM13-FM16,,StatusActive,2018,3,Success
266,SpaceX,USA,Falcon 9 Block 4, Hispasat 30W-6,62.0,StatusRetired,2018,3,Success
267,ULA,USA,Atlas V 541, GOES-S (GOES-17),145.0,StatusActive,2018,3,Success
268,MHI,Japan,H-IIA 202, IGS-Optical 6,90.0,StatusActive,2018,2,Success
269,SpaceX,USA,Falcon 9 Block 3," PAZ & Tintin A, Tintin B",62.0,StatusRetired,2018,2,Success
270,Roscosmos,Kazakhstan,Soyuz 2.1a, Progress MS-08 (69P),48.5,StatusActive,2018,2,Success
271,CASC,China,Long March 3B/YZ-1, BeiDou-3 M3 & M4,,StatusActive,2018,2,Success
272,SpaceX,USA,Falcon Heavy, Test Flight,90.0,StatusActive,2018,2,Success
273,JAXA,Japan,SS-520, Tricom-1R,,StatusActive,2018,2,Success
274,CASC,China,Long March 2D, CSES & Rideshares,29.75,StatusActive,2018,2,Success
275,Roscosmos,Russian Federation,Soyuz 2.1a/Fregat-M, Kanopus-V No. 3-4 & Rideshares,48.5,StatusActive,2018,2,Success
276,SpaceX,USA,Falcon 9 Block 3, GovSat-1 / SES-16,62.0,StatusRetired,2018,1,Success
277,Arianespace,France,Ariane 5 ECA, SES-14/GOLD & Al Yah-3,200.0,StatusActive,2018,1,Partial Failure
278,CASC,China,Long March 2C," Yaogan 30 J, K & L",30.8,StatusActive,2018,1,Success
279,Rocket Lab,New Zealand,Electron/Curie, Still Testing,7.5,StatusActive,2018,1,Success
280,ULA,USA,Atlas V 411, SBIRS GEO-4,115.0,StatusActive,2018,1,Success
